is_goal,distance_to_goal,angle_to_goal,shot_body_part,play_pattern,under_pressure,shot_statsbomb_xg
1,12.495199078045934,35.07672611201236,Right Foot,From Counter,1,0.20100605
0,5.860034129593442,66.60924085946712,Head,From Corner,1,0.14399761
0,26.690822392725178,16.99165938496289,Left Foot,From Free Kick,0,0.032130886
0,10.932977636490435,39.84637307043679,Head,From Free Kick,0,0.18666926
0,5.024937810560446,72.64597536373867,Head,From Corner,0,0.19270518
0,15.072159765607585,26.914530107332077,Head,Regular Play,1,0.027433796
0,7.653757247260986,34.80556065807469,Head,From Corner,1,0.09428854
0,19.090573590125572,13.055247223796563,Right Foot,From Counter,0,0.042556882
0,27.569729777420747,16.3009120039375,Right Foot,From Free Kick,0,0.019808901
0,32.21179908046119,12.538308708900777,Right Foot,From Goal Kick,0,0.012477021
0,20.506096654409877,16.00150403984702,Right Foot,From Free Kick,0,0.03839731
0,8.329465769183518,51.203653447826596,Head,From Corner,1,0.075333446
0,12.539936203984453,33.077301803715784,Head,From Throw In,0,0.044610713
1,9.364827814754522,42.106192946761034,Right Foot,From Goal Kick,0,0.23496674
0,19.81565038044424,8.575539549724075,Right Foot,Regular Play,0,0.009729679
0,10.183319694480772,33.659903917546096,Right Foot,Other,0,0.35719204
0,37.45744251814317,11.126633661839598,Right Foot,From Corner,0,0.005913877
0,15.815498727514093,28.363324029233475,Right Foot,From Corner,0,0.03705331
0,28.988273491189506,12.264773727892461,Right Foot,From Free Kick,0,0.010959039
0,6.661080993352359,56.70657503522453,Left Foot,Regular Play,0,0.16438472
0,23.0,19.731613886168734,Right Foot,Regular Play,0,0.0391187
0,14.375673897247388,16.589452744657446,Left Foot,From Goal Kick,1,0.11089649
0,15.800316452527147,23.50125563969851,Right Foot,Regular Play,0,0.07597345
0,9.079647570252934,47.299865799425724,Head,From Goal Kick,0,0.13519733
0,6.585590330410787,55.07670446503173,Other,From Free Kick,0,0.25903136
0,25.785654926722344,17.065493699224948,Left Foot,From Free Kick,0,0.0660456
0,24.690889007891148,17.922677357627162,Right Foot,From Free Kick,0,0.03677261
0,15.565667348366407,24.179193154369663,Right Foot,From Throw In,0,0.09536816
0,17.61618573925695,24.542876194320083,Left Foot,Regular Play,0,0.10027991
0,12.677539193392377,34.85788316717122,Head,From Free Kick,1,0.02819521
1,13.60147050873544,31.21239140389495,Left Foot,From Goal Kick,0,0.47824246
0,8.44037913840368,16.15340488688558,Head,Regular Play,1,0.041744728
0,12.94681427996864,28.053654482553483,Right Foot,From Free Kick,0,0.4181081
0,25.700194551792794,17.0452388672278,Right Foot,From Throw In,0,0.046656966
0,13.685759021698432,13.397019557822931,Right Foot,From Kick Off,0,0.04113277
0,32.6827171453048,13.014977764589283,Right Foot,Regular Play,0,0.015712837
0,12.482387592123555,18.654735253880663,Right Foot,Regular Play,0,0.10723932
0,12.369316876852979,15.657757794615536,Right Foot,Regular Play,1,0.042171385
0,28.783502219153245,14.782259053601418,Right Foot,Regular Play,1,0.023612352
0,24.349537983296518,17.761967484618893,Right Foot,From Throw In,0,0.032602046
0,15.311760186209808,24.770150589063164,Right Foot,From Throw In,0,0.14338174
0,8.32165848854662,46.44192337168129,Head,From Corner,1,0.08364612
0,12.119818480488886,33.42865297630084,Right Foot,From Corner,0,0.067132466
0,11.454693361238443,23.96064323918551,Right Foot,Regular Play,1,0.0753362
1,16.701197561851668,26.93603586081334,Right Foot,From Goal Kick,1,0.14035599
0,26.109385285755,17.41428336019712,Right Foot,From Throw In,1,0.03016361
0,28.12561110447203,15.242920325657852,Right Foot,Regular Play,0,0.029451067
0,6.826419266350399,43.26429541107164,Right Foot,From Goal Kick,1,0.2959347
1,2.41867732448957,117.86298271695996,Right Foot,From Goal Kick,0,0.6883914
0,28.49034924320865,14.271504858512154,Right Foot,Regular Play,0,0.024495702
0,33.87742611238345,12.43785801798118,Right Foot,From Free Kick,0,0.00621196
0,26.108427758101406,12.075063362083334,Left Foot,Regular Play,0,0.010698183
0,22.28990803031722,20.27189213244686,Right Foot,Regular Play,0,0.04759094
0,7.507329751649385,44.74332575109162,Head,From Throw In,1,0.10936305
0,10.264989040422785,34.2281506850987,Head,From Corner,1,0.0425816
0,8.174350127074318,51.89435530929357,Head,Regular Play,1,0.11903284
0,11.903780911962377,35.239062111736175,Head,From Free Kick,0,0.04225832
0,19.581624038878903,13.468365317369667,Right Foot,From Goal Kick,1,0.02881258
0,16.995587662684688,3.0210536234544922,Left Foot,From Counter,1,0.010852635
0,20.319940944796073,22.25295826642971,Right Foot,Regular Play,0,0.054124165
0,14.256226709757387,26.755677960565794,Left Foot,From Counter,0,0.046849832
0,25.22419473442116,14.39517288203673,Left Foot,Regular Play,0,0.02230111
0,20.2089089265106,14.406685156436893,Right Foot,From Counter,0,0.048269883
0,12.529964086141673,32.895132497909664,Head,From Goal Kick,1,0.045027424
0,14.506550244630871,29.94250895646605,Right Foot,Regular Play,0,0.18605462
0,37.08436328157732,12.285334779739916,Right Foot,Regular Play,0,0.006951803
0,30.334963326168705,10.721274081988083,Right Foot,From Throw In,0,0.011081066
0,18.730189534545563,20.80206566160487,Left Foot,Regular Play,0,0.03630777
0,17.441330224498365,25.7804458939512,Left Foot,From Throw In,0,0.21733604
1,12.662148316932639,27.018966726553494,Right Foot,Regular Play,0,0.08505598
0,8.720665112249176,46.09945736998548,Head,From Corner,1,0.082872435
1,7.3999999999999995,55.31123134814748,Head,From Corner,0,0.25384808
0,14.413882197381795,27.728977743401202,Right Foot,From Keeper,0,0.18929456
0,27.18271509617831,16.46117449807345,Left Foot,From Corner,0,0.0264413
0,6.706713054842882,60.10109816138549,Head,From Corner,0,0.22405402
0,9.326306878931229,46.34760923847709,Head,From Corner,1,0.106879756
0,10.32375900532359,32.811249216166175,Left Foot,From Corner,0,0.080693014
0,11.225417586887358,36.02489587708613,Right Foot,From Throw In,0,0.23786028
0,33.93420103671221,13.011603865489075,Right Foot,Regular Play,0,0.015153575
1,4.134005321718878,86.45609451793547,Other,From Goal Kick,0,0.38353118
0,28.9836160614924,14.009246486602512,Left Foot,From Throw In,0,0.014218964
0,25.191466809219342,14.917350285826165,Right Foot,Regular Play,0,0.033781487
0,32.588494902342454,13.958758246158315,Right Foot,From Throw In,0,0.013632962
0,28.397887245356827,15.283819208010623,Right Foot,From Throw In,0,0.022911863
0,14.23411395205195,22.15942094149646,Head,From Corner,1,0.026021937
0,23.10346294389652,19.642256631190964,Right Foot,Regular Play,1,0.05193508
0,22.808989455914084,17.851801457700773,Right Foot,From Throw In,0,0.042519
0,25.75266976451179,17.559457161107822,Right Foot,From Throw In,0,0.041637745
0,15.044268011438778,29.210488917293812,Right Foot,From Throw In,0,0.12241382
0,28.12205540141048,15.5216320303048,Left Foot,Regular Play,0,0.028658802
0,16.405486887014355,19.97292881243718,Right Foot,Regular Play,0,0.03933018
0,26.718720029222958,17.017538313453077,Right Foot,From Free Kick,0,0.031919174
